,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Algorithm
0,2022-03-04,2025-02-27,1091 days,51.93591455273698,23696.633743286155,29306.511642456073,136.96633743286156,0.9018428934985313,33.67888059433528,56.24152114916762,22.05214194675751,0.5988259191107198,1.2994651193567286,0.7542799853657448,136.56891996523237,0.4406726165879054,-44.65037021763827,-11.306952777635559,517 days,70 days,32,28.125,53.82849163253978,-9.354469994575322,2.7324479575866256,66 days,17 days,2.34349816694762,3.7757639857402325,0.9935728084744184,0.1320974033055567,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10000.000000     0.000000              NaT
2022-03-09  10000.000000     0.000000              NaT
2022-03-10  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  23696.633743     0.191421              NaT
2025-02-24  23696.633743     0.191421              NaT
2025-02-25  23696.633743     0.191421              NaT
2025-02-26  23696.633743     0.191421              NaT
2025-02-27  23696.633743     0.191421          72 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     35         5        6  280.066681  260.203339  None  None  -695.216980  -0.070924 2022-03-11 2022-03-14   3 days  None                 0                0
1     30        11       28  304.993347  327.026672  None  None   660.999756   0.072242 2022-03-21 2022-04-13  23 days  None                 1                0
2     29        32       33  343.333344  358.243347  None  None   432.390106   0.043427 2022-04-20 2022-04-21   1 days  None                 0                0
3     43        77       80  237.470001  230.500000  None  None  -299.710052  -0.029351 2022-06-24 2022-06-29   5 days  None                 1                0
4     45        83      122  223.000000  282.829987  None  None  2692.349396   0.268296 2022-07-05 2022-08-29  55 days  None                 1                1
5     44       123      124  287.869995  280.619995  None  None  -319.000000  -0.025185 2022-08-30 2022-08-31   1 days  None                 0                0
6     41       131      134  300.720001  301.829987  None  None    45.509399   0.003691 2022-09-12 2022-09-15   3 days  None                 1                1
7     41       135      140  299.609985  283.089996  None  None  -677.319550  -0.055138 2022-09-16 2022-09-23   7 days  None                 1                0
8     64       187      188  182.429993  197.080002  None  None   937.600586   0.080305 2022-11-30 2022-12-01   1 days  None                 0                1
9     66       189      194  191.779999  173.839996  None  None -1184.040161  -0.093545 2022-12-02 2022-12-09   7 days  None                 1                0
10    90       221      253  128.679993  185.039993  None  None  5072.400055   0.437986 2023-01-20 2023-03-08  47 days  None                 1                0
11    83       271      272  199.910004  197.320007  None  None  -214.969696  -0.012956 2023-04-03 2023-04-04   1 days  None                 0                0
12    95       297      300  172.550003  167.660004  None  None  -464.549942  -0.028340 2023-05-10 2023-05-15   5 days  None                 1                0
13    91       303      346  174.220001  268.000000  None  None  8533.979889   0.538285 2023-05-18 2023-07-21  64 days  None                 1                0
14    95       376      391  257.260010  243.380005  None  None -1318.600464  -0.053953 2023-09-01 2023-09-25  24 days  None                 1                0
15    94       396      409  244.809998  225.949997  None  None -1772.840057  -0.077039 2023-10-02 2023-10-19  17 days  None                 1                0
16    89       428      461  239.289993  239.250000  None  None    -3.559402  -0.000167 2023-11-15 2024-01-04  50 days  None                 1                0
17   109       492      493  196.130005  193.360001  None  None  -301.930466  -0.014123 2024-02-20 2024-02-21   1 days  None                 0                1
18   108       494      496  194.000000  192.289993  None  None  -184.680725  -0.008814 2024-02-22 2024-02-26   4 days  None                 1                0
19   104       498      502  200.419998  183.050003  None  None -1806.479492  -0.086668 2024-02-28 2024-03-05   6 days  None                 1                0
20   108       514      515  176.389999  166.690002  None  None -1047.599670  -0.054992 2024-03-21 2024-03-22   1 days  None                 0                0
21   101       519      524  177.449997  169.080002  None  None  -845.369507  -0.047168 2024-03-28 2024-04-05   8 days  None                 1                0
22    99       527      529  173.039993  172.339996  None  None   -69.299698  -0.004045 2024-04-10 2024-04-12   2 days  None                 1                0
23    91       540      559  188.419998  174.839996  None  None -1235.780167  -0.072073 2024-04-29 2024-05-24  25 days  None                 1                0
24    91       561      570  174.190002  173.919998  None  None   -24.570389  -0.001550 2024-05-29 2024-06-11  13 days  None                 1                0
25    89       574      600  177.919998  216.800003  None  None  3460.320435   0.218525 2024-06-17 2024-07-25  38 days  None                 1                0
26    86       620      621  223.820007  214.460007  None  None  -804.960052  -0.041819 2024-08-22 2024-08-23   1 days  None                 0                1
27    84       622      623  218.750000  213.250000  None  None  -462.000000  -0.025143 2024-08-26 2024-08-27   1 days  None                 0                0
28    77       630      631  232.600006  216.199997  None  None -1262.800705  -0.070507 2024-09-06 2024-09-09   3 days  None                 0                0
29    74       634      656  224.660004  220.130005  None  None  -335.219910  -0.020164 2024-09-12 2024-10-14  32 days  None                 1                0
30    61       666      711  270.000000  390.100006  None  None  7326.100372   0.444815 2024-10-28 2025-01-02  66 days  None                 1                0
31    57       723      725  416.809998  414.450012  None  None  -134.519165  -0.005662 2025-01-22 2025-01-24   2 days  None                 1                0",Logistic Regression
1,2022-03-04,2025-02-27,1091 days,40.85447263017357,15521.009704589844,23392.612487792972,55.21009704589844,0.9018428934985313,15.940389866430383,43.36469347191477,10.687566198851561,0.3675891281637724,0.6845371697983046,0.3542215802363989,54.886403133513475,0.35892494659381435,-45.001182185998246,-9.303714325250652,428 days,59 days,20,40.0,42.364874614713166,-19.533405324181473,2.2357071261342343,64 days,21 days,1.7563600531276373,3.580676857130409,0.458372869836534,0.09597771195398164,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10000.000000     0.000000              NaT
2022-03-09  10000.000000     0.000000              NaT
2022-03-10  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  17259.599518     0.262177              NaT
2025-02-24  16888.830078     0.278027              NaT
2025-02-25  15474.599518     0.338483              NaT
2025-02-26  15521.009705     0.336500              NaT
2025-02-27  15521.009705     0.336500         428 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     42        85      126  233.919998  281.070007  None  None  1980.300385   0.201565 2022-07-07 2022-09-02  57 days  None                 1                0
1     84       224      246  141.910004  202.029999  None  None  5050.079590   0.423649 2023-01-25 2023-02-27  33 days  None                 1                1
2     80       247      250  210.589996  194.800003  None  None -1263.199463  -0.074980 2023-02-28 2023-03-03   3 days  None                 1                0
3     84       281      282  187.149994  179.100006  None  None  -676.198975  -0.043014 2023-04-18 2023-04-19   1 days  None                 0                1
4     90       283      286  166.169998  159.820007  None  None  -571.499176  -0.038214 2023-04-20 2023-04-25   5 days  None                 1                0
5     72       311      352  199.779999  267.480011  None  None  4874.400879   0.338873 2023-05-31 2023-07-31  61 days  None                 1                0
6     75       389      406  257.850006  250.050003  None  None  -585.000229  -0.030250 2023-09-21 2023-10-16  25 days  None                 1                1
7     75       407      408  250.100006  252.699997  None  None   194.999313   0.010396 2023-10-17 2023-10-18   1 days  None                 0                0
8     88       426      429  215.600006  239.490005  None  None  2102.319946   0.110807 2023-11-13 2023-11-16   3 days  None                 1                0
9     89       440      475  235.750000  189.699997  None  None -4098.450272  -0.195334 2023-12-04 2024-01-25  52 days  None                 1                0
10    92       502      509  183.050003  167.770004  None  None -1405.759888  -0.083474 2024-03-05 2024-03-14   9 days  None                 1                0
11    85       557      558  182.850006  181.800003  None  None   -89.250259  -0.005742 2024-05-22 2024-05-23   1 days  None                 0                0
12    83       573      574  185.800003  177.919998  None  None  -654.040405  -0.042411 2024-06-14 2024-06-17   3 days  None                 0                0
13    67       584      608  218.889999  200.750000  None  None -1215.379959  -0.082873 2024-07-02 2024-08-06  35 days  None                 1                0
14    62       617      619  217.070007  222.669998  None  None   347.199432   0.025798 2024-08-19 2024-08-21   2 days  None                 1                0
15    63       622      623  218.750000  213.250000  None  None  -346.500000  -0.025143 2024-08-26 2024-08-27   1 days  None                 0                0
16    61       629      675  223.490005  299.140015  None  None  4614.650558   0.338494 2024-09-05 2024-11-08  64 days  None                 1                0
17    55       679      695  327.690002  397.609985  None  None  3845.599060   0.213372 2024-11-14 2024-12-09  25 days  None                 1                0
18    53       725      739  414.450012  345.000000  None  None -3680.850647  -0.167572 2025-01-24 2025-02-13  20 days  None                 1                1
19    51       740      747  360.619995  303.709991  None  None -2902.410187  -0.157812 2025-02-14 2025-02-26  12 days  None                 1                0",Random Forest
2,2022-03-04,2025-02-27,1091 days,44.45927903871829,18666.506065368645,27315.12548065185,86.66506065368645,0.9018428934985313,23.36693596080195,48.8043103945117,15.507542415755783,0.47878836463243385,0.9670766037567501,0.5113603075536228,86.30544266229731,0.39875902330845164,-45.69563889812003,-10.669188250087497,506 days,67 days,22,50.0,65.98762387389363,-18.886560521289887,2.900787476636202,73 days,21 days,2.0480172726296866,4.487624487036208,0.6118544012923685,0.15653613253526455,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10000.000000     0.000000              NaT
2022-03-09  10000.000000     0.000000              NaT
2022-03-10  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  19270.185997     0.294523              NaT
2025-02-24  18863.066612     0.309428              NaT
2025-02-25  18666.506065     0.316624              NaT
2025-02-26  18666.506065     0.316624              NaT
2025-02-27  18666.506065     0.316624          72 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     27        18       19  363.723328  364.856659  None  None    30.599945   0.003116 2022-03-30 2022-03-31   1 days  None                 0                0
1     43        80       82  230.500000  227.000000  None  None  -150.500000  -0.015184 2022-06-29 2022-07-01   2 days  None                 1                1
2     44        83      126  223.000000  281.070007  None  None  2555.080322   0.260404 2022-07-05 2022-09-02  59 days  None                 1                0
3     97       220      221  127.260002  128.679993  None  None   137.739082   0.011158 2023-01-19 2023-01-20   1 days  None                 0                0
4     87       223      244  143.000000  203.910004  None  None  5299.170319   0.425944 2023-01-24 2023-02-23  30 days  None                 1                0
5     82       314      351  217.800003  259.859985  None  None  3448.918549   0.193113 2023-06-05 2023-07-28  53 days  None                 1                1
6     79       352      354  267.480011  255.570007  None  None  -940.890289  -0.044527 2023-07-31 2023-08-02   2 days  None                 1                0
7     82       358      359  247.449997  250.869995  None  None   280.439850   0.013821 2023-08-08 2023-08-09   1 days  None                 0                0
8     85       361      363  241.770004  238.729996  None  None  -258.400726  -0.012574 2023-08-11 2023-08-15   4 days  None                 1                0
9     79       389      412  257.850006  216.500000  None  None -3266.650482  -0.160365 2023-09-21 2023-10-24  33 days  None                 1                0
10    76       423      429  223.149994  239.490005  None  None  1241.840881   0.073224 2023-11-08 2023-11-16   8 days  None                 1                0
11    74       438      440  245.139999  235.750000  None  None  -694.859955  -0.038305 2023-11-30 2023-12-04   4 days  None                 1                1
12    75       441      475  233.869995  189.699997  None  None -3312.749863  -0.188866 2023-12-05 2024-01-25  51 days  None                 1                0
13    65       584      608  218.889999  200.750000  None  None -1179.099960  -0.082873 2024-07-02 2024-08-06  35 days  None                 1                0
14    62       616      619  211.149994  222.669998  None  None   714.240265   0.054558 2024-08-16 2024-08-21   5 days  None                 1                0
15    63       622      625  218.750000  209.800003  None  None  -563.849808  -0.040914 2024-08-26 2024-08-29   3 days  None                 1                1
16    63       626      676  208.630005  346.299988  None  None  8673.208923   0.659876 2024-08-30 2024-11-11  73 days  None                 1                0
17    65       678      695  335.850006  397.609985  None  None  4014.398651   0.183892 2024-11-13 2024-12-09  26 days  None                 1                0
18    61       699      700  420.000000  441.089996  None  None  1286.489777   0.050214 2024-12-13 2024-12-16   3 days  None                 0                0
19    58       702      704  466.500000  425.510010  None  None -2377.419434  -0.087867 2024-12-18 2024-12-20   2 days  None                 1                0
20    59       709      739  419.399994  345.000000  None  None -4389.599640  -0.177396 2024-12-30 2025-02-13  45 days  None                 1                1
21    56       740      746  360.619995  327.019989  None  None -1881.600342  -0.093173 2025-02-14 2025-02-25  11 days  None                 1                0",XGBoost
3,2022-03-04,2025-02-27,1091 days,50.06675567423231,18786.93777465821,25044.255279541016,87.8693777465821,0.9018428934985313,23.634155380005595,50.41405798213956,15.679249937304029,0.46880089256807267,0.9228591620299225,0.4535395100199834,87.49027335036327,0.42036633980467075,-52.11046636039328,-12.209932227460255,590 days,80 days,22,31.818181818181817,45.31152124756173,-15.120215406859373,2.934201239248835,73 days,24 days,2.10886281769449,4.216246913765797,0.7720940400658363,0.12578017250283344,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000      0.00000              NaT
2022-03-07  10000.000000      0.00000              NaT
2022-03-08  10000.000000      0.00000              NaT
2022-03-09  10000.000000      0.00000              NaT
2022-03-10  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21  18786.937775      0.24985              NaT
2025-02-24  18786.937775      0.24985              NaT
2025-02-25  18786.937775      0.24985              NaT
2025-02-26  18786.937775      0.24985              NaT
2025-02-27  18786.937775      0.24985         590 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     32        11       29  304.993347  333.096680  None  None   899.306641   0.092144 2022-03-21 2022-04-14  24 days  None                 1                0
1     45        77      122  237.470001  282.829987  None  None  2041.199341   0.191014 2022-06-24 2022-08-29  66 days  None                 1                0
2     43       135      141  299.609985  271.829987  None  None -1194.539948  -0.092721 2022-09-16 2022-09-26  10 days  None                 1                0
3     61       189      194  191.779999  173.839996  None  None -1094.340149  -0.093545 2022-12-02 2022-12-09   7 days  None                 1                0
4     82       221      253  128.679993  185.039993  None  None  4621.520050   0.437986 2023-01-20 2023-03-08  47 days  None                 1                0
5     76       271      272  199.910004  197.320007  None  None  -196.839722  -0.012956 2023-04-03 2023-04-04   1 days  None                 0                0
6     85       299      347  176.070007  255.850006  None  None  6781.299896   0.453115 2023-05-12 2023-07-24  73 days  None                 1                0
7     84       376      392  257.260010  242.979996  None  None -1199.521179  -0.055508 2023-09-01 2023-09-26  25 days  None                 1                0
8     81       400      402  253.979996  257.750000  None  None   305.370346   0.014844 2023-10-06 2023-10-10   4 days  None                 1                1
9     78       403      409  266.200012  225.949997  None  None -3139.501190  -0.151202 2023-10-11 2023-10-19   8 days  None                 1                0
10    74       428      462  239.289993  236.860001  None  None  -179.819458  -0.010155 2023-11-15 2024-01-05  51 days  None                 1                0
11    90       494      503  194.000000  179.990005  None  None -1260.899506  -0.072216 2024-02-22 2024-03-06  13 days  None                 1                0
12    92       519      525  177.449997  169.339996  None  None  -746.120056  -0.045703 2024-03-28 2024-04-08  11 days  None                 1                0
13    90       527      528  173.039993  172.550003  None  None   -44.099121  -0.002832 2024-04-10 2024-04-11   1 days  None                 0                1
14    90       529      531  172.339996  156.740005  None  None -1403.999176  -0.090519 2024-04-12 2024-04-16   4 days  None                 1                0
15    75       541      559  186.979996  174.839996  None  None  -910.499954  -0.064927 2024-04-30 2024-05-24  24 days  None                 1                1
16    75       560      570  176.399994  173.919998  None  None  -185.999680  -0.014059 2024-05-28 2024-06-11  14 days  None                 1                0
17    70       575      600  186.559998  216.800003  None  None  2116.800385   0.162093 2024-06-18 2024-07-25  37 days  None                 1                0
18    69       622      623  218.750000  213.250000  None  None  -379.500000  -0.025143 2024-08-26 2024-08-27   1 days  None                 0                0
19    63       630      631  232.600006  216.199997  None  None -1033.200577  -0.070507 2024-09-06 2024-09-09   3 days  None                 0                0
20    60       635      656  228.000000  220.130005  None  None  -472.199707  -0.034518 2024-09-13 2024-10-14  31 days  None                 1                0
21    49       666      712  270.000000  381.480011  None  None  5462.520538   0.412889 2024-10-28 2025-01-03  67 days  None                 1                0",SVM
4,2022-03-04,2025-02-27,1091 days,0.0,10620.613800048828,17943.282806396484,6.206138000488282,0.9018428934985313,2.046473699203677,66.39018941738274,1.4004910464657128,0.030824941413224147,0.050554597830635345,0.028927784561623225,5.326085596207633,0.9758378212269864,-70.74422498011175,-20.997874358087373,977 days,179 days,0,,,,,,,,,,,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10356.062897     0.000000              NaT
2022-03-09  10782.426697     0.000000              NaT
2022-03-10  10527.496155     0.023643              NaT
...                  ...          ...              ...
2025-02-21  12687.062897     0.292935              NaT
2025-02-24  12418.073303     0.307926              NaT
2025-02-25  11392.062897     0.365107              NaT
2025-02-26  10948.062897     0.389852              NaT
2025-02-27  10620.613800     0.408101          72 days

[749 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",Naive Bayes
5,2022-03-04,2025-02-27,1091 days,52.87049399198932,15495.657516479489,21968.938980102535,54.956575164794884,0.9018428934985313,15.876639239107625,48.635785040016735,10.645779020393942,0.3264394565862273,0.6133835954062284,0.45156455019572966,54.5677168767949,0.4311818508559531,-35.15917986083259,-11.286871179986079,189 days,51 days,31,51.61290322580645,60.03220308841666,-20.257029327177143,1.4329141376890897,102 days,17 days,1.656967954857385,2.3435017684322585,0.5463408451964853,0.1309809482524562,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10000.000000     0.000000              NaT
2022-03-09  10000.000000     0.000000              NaT
2022-03-10  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  16002.317459     0.271594              NaT
2025-02-24  15660.627975     0.287147              NaT
2025-02-25  15495.657516     0.294656              NaT
2025-02-26  15495.657516     0.294656              NaT
2025-02-27  15495.657516     0.294656          65 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     27        17       27  369.329987  332.546661  None  None  -993.149780  -0.099595 2022-03-29 2022-04-12  14 days  None                 1                0
1     26        34       35  338.303345  326.323334  None  None  -311.480286  -0.035412 2022-04-22 2022-04-25   3 days  None                 0                0
2     38        82       84  227.000000  230.779999  None  None   143.639954   0.016652 2022-07-01 2022-07-06   5 days  None                 1                1
3     37        85       86  233.919998  242.333328  None  None   311.293213   0.035967 2022-07-07 2022-07-08   1 days  None                 0                1
4     36        87       97  252.103333  272.216675  None  None   724.080322   0.079782 2022-07-11 2022-07-25  14 days  None                 1                1
5     37        98      125  266.513336  272.579987  None  None   224.466064   0.022763 2022-07-26 2022-09-01  37 days  None                 1                0
6     65       200      202  154.000000  139.339996  None  None  -952.900238  -0.095195 2022-12-19 2022-12-21   2 days  None                 1                0
7     56       226      257  162.429993  177.309998  None  None   833.280273   0.091609 2023-01-27 2023-03-14  46 days  None                 1                0
8     53       280      286  186.320007  159.820007  None  None -1404.500000  -0.142228 2023-04-17 2023-04-25   8 days  None                 1                0
9     56       288      289  152.639999  160.899994  None  None   462.559692   0.054114 2023-04-27 2023-04-28   1 days  None                 0                0
10    55       291      292  161.880005  160.009995  None  None  -102.850571  -0.011552 2023-05-02 2023-05-03   1 days  None                 0                0
11    53       300      350  167.660004  268.309998  None  None  5334.449677   0.600322 2023-05-15 2023-07-27  73 days  None                 1                1
12    54       351      353  259.859985  266.260010  None  None   345.601318   0.024629 2023-07-28 2023-08-01   4 days  None                 1                0
13    60       392      408  242.979996  252.699997  None  None   583.200073   0.040003 2023-09-26 2023-10-18  22 days  None                 1                0
14    70       426      428  215.600006  239.289993  None  None  1658.299103   0.109879 2023-11-13 2023-11-15   2 days  None                 1                0
15    71       440      441  235.750000  233.869995  None  None  -133.480347  -0.007975 2023-12-04 2023-12-05   1 days  None                 0                0
16    69       443      473  241.550003  211.300003  None  None -2087.250000  -0.125233 2023-12-07 2024-01-23  47 days  None                 1                0
17    81       503      509  179.990005  167.770004  None  None  -989.820099  -0.067893 2024-03-06 2024-03-14   8 days  None                 1                0
18    80       511      514  170.020004  176.389999  None  None   509.599609   0.037466 2024-03-18 2024-03-21   3 days  None                 1                0
19    83       530      534  170.240005  148.970001  None  None -1765.410355  -0.124941 2024-04-15 2024-04-19   4 days  None                 1                0
20    77       538      607  158.960007  185.220001  None  None  2022.019577   0.165199 2024-04-25 2024-08-05 102 days  None                 1                0
21    68       616      618  211.149994  224.880005  None  None   933.640747   0.065025 2024-08-16 2024-08-20   4 days  None                 1                0
22    68       620      621  223.820007  214.460007  None  None  -636.480042  -0.041819 2024-08-22 2024-08-23   1 days  None                 0                1
23    67       622      623  218.750000  213.250000  None  None  -368.500000  -0.025143 2024-08-26 2024-08-27   1 days  None                 0                0
24    66       627      628  215.259995  210.589996  None  None  -308.219879  -0.021695 2024-09-03 2024-09-04   1 days  None                 0                1
25    62       629      675  223.490005  299.140015  None  None  4690.300568   0.338494 2024-09-05 2024-11-08  64 days  None                 1                0
26    54       683      694  345.000000  377.420013  None  None  1750.680725   0.093971 2024-11-20 2024-12-06  16 days  None                 1                0
27    48       698      699  424.839996  420.000000  None  None  -232.319824  -0.011393 2024-12-12 2024-12-13   1 days  None                 0                0
28    47       704      708  425.510010  449.519989  None  None  1128.469025   0.056426 2024-12-20 2024-12-27   7 days  None                 1                0
29    49       722      739  432.640015  345.000000  None  None -4294.360718  -0.202570 2025-01-21 2025-02-13  23 days  None                 1                1
30    47       740      746  360.619995  327.019989  None  None -1579.200287  -0.093173 2025-02-14 2025-02-25  11 days  None                 1                0",Gradient Boosting
6,2022-03-04,2025-02-27,1091 days,62.34979973297731,14321.758010864254,21258.86851501465,43.21758010864254,0.9018428934985313,12.845630393415085,55.42966229616416,8.650605228611031,0.2317465028882925,0.43425774243568854,0.22907378073833,42.69671223277832,0.5775594392540037,-56.0763888036955,-15.463432414837866,482 days,68 days,12,41.66666666666667,106.43787439275418,-23.620017578179244,6.405514335064355,204 days,55 days,2.5470549753911818,11.451632363285343,0.7848598247894079,0.1991554405164281,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-04  10000.000000     0.000000              NaT
2022-03-07  10000.000000     0.000000              NaT
2022-03-08  10000.000000     0.000000              NaT
2022-03-09  10000.000000     0.000000              NaT
2022-03-10  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  17114.256790     0.194959              NaT
2025-02-24  16750.757339     0.212058              NaT
2025-02-25  15364.256790     0.277278              NaT
2025-02-26  14764.256790     0.305501              NaT
2025-02-27  14321.758011     0.326316          87 days

[749 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     44        83      129  223.000000  281.299988  None  None  2565.199463   0.261435 2022-07-05 2022-09-08  65 days  None                 1                0
1     41       131      145  300.720001  266.149994  None  None -1417.370300  -0.114957 2022-09-12 2022-09-30  18 days  None                 1                0
2     61       187      202  182.429993  139.339996  None  None -2628.489777  -0.236200 2022-11-30 2022-12-21  21 days  None                 1                0
3     78       210      211  109.110001  110.510002  None  None   109.200119   0.012831 2023-01-04 2023-01-05   1 days  None                 0                0
4     70       215      355  122.089996  252.039993  None  None  9096.499786   1.064379 2023-01-11 2023-08-03 204 days  None                 1                0
5     68       389      412  257.850006  216.500000  None  None -2811.800415  -0.160365 2023-09-21 2023-10-24  33 days  None                 1                0
6     70       414      415  211.320007  210.600006  None  None   -50.400085  -0.003407 2023-10-26 2023-10-27   1 days  None                 0                0
7     59       437      473  249.210007  211.300003  None  None -2236.690216  -0.152121 2023-11-29 2024-01-23  55 days  None                 1                0
8     63       501      537  198.729996  162.839996  None  None -2261.069962  -0.180597 2024-03-04 2024-04-24  51 days  None                 1                1
9     65       538      628  158.960007  210.589996  None  None  3355.949326   0.324799 2024-04-25 2024-09-04 132 days  None                 1                0
10    59       637      656  229.449997  220.130005  None  None  -549.879532  -0.040619 2024-09-17 2024-10-14  27 days  None                 1                1
11    59       657      691  220.009995  351.799988  None  None  7775.609604   0.599018 2024-10-15 2024-12-03  49 days  None                 1                0",K-Nearest Neighbors
