Ticker,Date,Cleaned_Headlines
INTC,2015-01-15,"['notable earnings after the close: intc, slb']"
INTC,2015-04-09,"['david faber tweets: \'intel has ended talks to acquire altera $intc made all cash offer in ""low $50\'s and was rejected. talks has taken place for months- sources.\'']"
INTC,2015-04-17,['charles gasparino @cgasparino tweet: lots of mkt chatter that the intel $intc - altera $altr deal still on']
INTC,2015-07-12,['6 rumored iphone 6s features']
INTC,2015-07-15,"[""global equities' chowdhry reacts to intel's qtr.: calls pc growth 'very strong,' suggests strength stems from apple's mac, not windows pcs""]"
INTC,2015-07-18,"[""weekly tech highlights: apple's mac sales could be huge, google rose 16% & best buy chatter""]"
INTC,2015-09-28,"['intc, hd, msft, trv only green s&p 500 stocks']"
INTC,2015-10-13,['option alert: $intc dec $36 call sweep; 5697 contracts @ask @$0.14; now $32.22']
INTC,2015-10-16,"['""pc does what?"" computers titans take stand versus the mac']"
INTC,2015-10-18,"['intel said to have 1,000 workers on preparing 7360 lte modem chip for iphone 7  beat']"
INTC,2016-01-12,"['pacific crest positive on intc, expects q4 beat & sees q1 guidance to be down seasonally, are buyers on weakness']"
INTC,2016-01-14,"['intel shares rally ~$0.13 into the close, minutes before earnings expected out; bz note: intc historically']"
INTC,2016-01-15,['intc eps review']
INTC,2016-01-25,['option alert: intc jul16 32.0 calls: 6000 @ above ask! $1.15: 6041 traded vs 20k oi: $30.02 ref']
INTC,2016-02-29,"[""update: fbr's rolland on lattice: 'outside of a chinese buyer, we believe the list of potential suitors could include mscc, xlnx, intc, qcom, or mrvl.'""]"
INTC,2016-03-22,"['summit still buying intel, but ipad fears hurt its pc market']"
INTC,2016-04-03,"[""why intel is supporting apple's iphone 7""]"
INTC,2016-04-19,"['earnings: are intc, yhoo ready for the street?']"
INTC,2016-05-24,"['chip suppliers cautious regarding unit production for iphone 7; suppliers include intel, qualcomm, nxp, broadcom, taiwan semiconductor']"
INTC,2016-06-13,['option alert: sweep (buy) - intc jun 24 $32.5 call - 5000 @ 0.38 in 18 orders. 5261 traded. oi: 2121']
INTC,2016-06-30,"['intel price target raised to $35, citi cheers iphone 7 win']"
INTC,2016-07-20,"['after losers: kmi down 2%, scss 2%, tsco 1.9%, intc 1.3%']"
INTC,2016-09-19,"[""why the new mac justifies intel's increased pc guidance""]"
INTC,2017-01-26,"['what might to expect when msft, intc and cvx report earnings?']"
INTC,2017-02-08,"[""apple's 'iphone x' to cost $1,000?""]"
INTC,2017-02-24,"[""intel's market share in apple's iphone 8 could hit 65% this year""]"
INTC,2017-06-14,['intel (intc) unveils games & announces partnerships at e3']
