Ticker,Date,Cleaned_Headlines
BAC,2015-09-22,['bac wins 63% of votes in favor to keep ceo moynihan chairmanship']
BAC,2015-12-17,"[""deutsche bank's matt o'connor earlier highlighted 'pnc biggest winner from fed hike; bac, cfg, jpm, mtb also benefit'"", ""pnc, bac, cfg, jpm, mtb...deutsche bank sees pnc as biggest winner from fed's rate hike""]"
BAC,2015-12-22,"['deutsche bank calls bac, pnc, usb top picks for 2016, sees benefits from increasing rates and sluggish capital market activity']"
BAC,2015-12-28,['fitbit up 3% after company dominates apple app store for christmas']
BAC,2016-01-15,"['ms, bac could shed light on interest rate picture, patchy global economy']"
BAC,2016-01-29,"[""oppenheimer positive on bac, c, cfg, dfs, fitb, and gs; sees bottom in ttm ficc trading revs offering 'pretty good' upside""]"
BAC,2016-02-09,"[""stifel's mark murphy drawing attention to gs, ms, wfc, c, jpm, and bac 5yr cds upside explosion, sees extreme pessimism""]"
BAC,2016-04-13,"['earnings: bac, wfc next up in the beleaguered banks line']"
BAC,2016-04-19,"['goldman bullish on wfc, c, & bac,']"
BAC,2016-04-20,['option alert: sweep (buy) - bac july $16 call- 16082 @ 0.281 in 29 orders. 21966 traded. oi: 3124']
BAC,2016-07-15,"['earnings: bac, ms, and gs bank on trading activity']"
BAC,2016-08-31,"['pre prep host dennis dick tweets notable opening imbalance: notable opening imbalances: $bac +1.1m, $abx , $ge , $jnj +35k, $veev +40k, $f , $ms , $c +35k']"
BAC,2016-10-05,"['pre prep host dennis dick tweets: notable opening imbalances: $twtr +422k, $abx +186k, $bac +112k, $kr , $mo , $t +40k']"
BAC,2016-11-17,"['pre prep host dennis dick tweets: notable opening imbalances: $baba +175k, $twtr , $bac , $ms , $sq , $kr , $pfe +109k']"
BAC,2016-12-01,"['pre prep host dennis dick tweets: notable opening imbalances: $bac +615k, $c +114k, $jpm +120k, $pfe +101k, $ge , $pg , $twtr +35k']"
BAC,2016-12-12,"['pre prep host dennis dick tweets: banks starting to show some early weakness. huge sell imbalances at 830 putting some pressure on them. $c , $bac , $wfc']"
BAC,2017-01-04,"['pre prep host dennis dick tweets: notable opening imbalances: $pg +93k, $ko +136k, $bac +350k, $t , $xrx +272k, $gm +60k, $cvx +73k, $baba +49k, $f +441k']"
BAC,2017-01-30,"['pre prep host dennis dick tweets: notable opening imbalances: $baba , $c , $bac , $ms , $ba , $ge , $pfe +111k, $bmy +69k']"
BAC,2017-02-21,"[""nyse amex options now available for symbols 'baba' and 'bac' for market maker quoting""]"
BAC,2017-03-06,"['benzinga premarket prep host dennis dick tweets: notable opening imbalances: $xrx +467k, $bac , $pfe , $crm , $pep , $jnj , $pg']"
BAC,2017-03-20,"[""benzinga's premarket prep host dennis dick tweets: notable opening imbalances: $bac , $jpm , $pfe +115k, $baba +54k, $ge , $ko +72k, $nke +64k""]"
BAC,2017-03-22,"['premarket prep host dennis dick tweets: $bac .2m, $c , $ms , $wfc , $nke , $baba , $twtr , $jnj , $ge , $f +344k']"
BAC,2017-04-17,"['earnings: another financial roundup with bac, gs, and ms']"
BAC,2017-06-23,"['benzinga pmp host dennis dick tweets: a few large imbalances this morning: $ge +825k, $jnj , $f , $bac +110k, $wfc +66k, $jpm +61k']"
BAC,2017-07-17,"['earnings preview: financial giants bac, gs, and ms report q2 results this week']"
BAC,2017-07-18,['selerity tweets: #breaking: bank of america $bac q2 earnings per share (eps) $0.46']
BAC,2017-08-22,"['premarket prep host dennis dick tweets: notable opening imbalances: $sq +113k, $baba +110k, $bac +194k, $s +195k, $m +111k, $nke +53k, $twx , $snap +95k']"
BAC,2017-09-25,['notable premarket imbalances: sq 77k to buy; pfe 130k to sell; baba 44k sell; bac 88; to sell;']
BAC,2017-10-11,"['big banks jpm, c, bac and wfc report third quarter earnings this week']"
BAC,2017-10-12,"['premarket prep host dennis dick tweets: notable opening imbalances: $t , $vz , $ge +105k, $bac +109k, $c +164k, $sq +89k, $dis']"
BAC,2017-11-13,['premarket imbalance update: alibaba 173k shares to buy; ge 133k shares to buy f 151k shares to sell; bac 189k shares to sell; ms 41k shares to sell; jpm 53k shares to sell']
BAC,2017-11-14,['premarket imbalance update: ge 201k shares to sell; baba 70k shares to sell; f 177k shares to sell; bac 67k shares to sell']
BAC,2017-12-13,"['following fed rate increase decision: spdr financial etf xlf .44%, jpm .47%, bac .24%, citigroup .37%, goldman sachs +0.19%, morgan stanley .24%']"
BAC,2020-01-03,"[""update: bmo downgrades bank of america to market perform, maintains $37 target 'on the basis of valuation exclusively' as 'bac shares now trade at a premium to their long historical average'"", ""update: bmo on bank of america notes 'we recommend investors switch out of bac shares into c and ms shares, which have yet to rerate to long historical threshold valuation multiples'""]"
BAC,2020-06-10,"[""benzinga pro's top 5 stocks to watch for wed., jun. 10, 2020: aapl, bac, nio, sono, glw""]"
BAC,2021-03-18,"[""what's happening with wfc stock and bac stock today?""]"
BAC,2021-05-03,"[""apple ceo gets buffett's praise: steve jobs couldn't really do what tim cook has done 'in many respects'""]"
BAC,2022-01-03,"[""(bac) - analyzing bank of america corporation's short interest""]"
BAC,2022-01-19,"[""(bac) - analyzing bank of america corporation's short interest""]"
BAC,2022-01-31,['check out what whales are doing with bac']
BAC,2022-07-01,['check out what whales are doing with bac']
BAC,2022-07-14,['weakness in investment banking to mar bofa (bac) q2 earnings']
BAC,2022-07-17,"['top wall street bets mentions this weekend: nvda, tsla, aapl, amd, nflx, twtr, intc, meta, goog, bac']"
BAC,2022-07-18,['bank of america (bac) misses q2 earnings and revenue estimates']
BAC,2022-08-26,['check out what whales are doing with bac']
BAC,2022-09-06,['check out what whales are doing with bac']
BAC,2022-09-20,['check out what whales are doing with bac']
BAC,2022-10-10,['check out what whales are doing with bac']
BAC,2022-10-31,['check out what whales are doing with bac']
BAC,2022-11-30,['check out what whales are doing with bac']
BAC,2022-12-09,"[""leaving $bac has 'not occurred to me'""]"
BAC,2023-02-07,"[""if you invested $1,000 in bank of america (bac) stock at its covid pandemic low, here's how much you'd have now""]"
BAC,2023-03-09,['why bank of america (bac) shares are nosediving today']
BAC,2023-03-13,['why bank of america (bac) shares are nosediving to a new 52 low']
BAC,2023-03-17,"['why bank of america (bac) shares are nosediving to a new 52 low', 'check out what whales are doing with bac']"
BAC,2023-03-27,['why bank of america (bac) shares are rising']
BAC,2023-04-04,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-04-13,"[""benzinga pro's top 10 stocks to watch for thursday, april 13, 2023: aapl, tsla, amzn, msft, intc, meta, nflx, bac, mcd, fcx""]"
BAC,2023-04-14,"[""what's going on with bank of america (bac) shares""]"
BAC,2023-04-17,"['top wall street bets mentions for monday april 17. 2023: spy, schw, nvda, nflx, msft, bac, tsla, amd, aapl, frc']"
BAC,2023-04-18,"['top wall street bets mentions for tuesday april 18, 2023: nvda, spy, bac, aapl, frc, tsla, qqq, nflx, msft, jpm']"
BAC,2023-04-25,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-05-02,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-05-08,['check out what whales are doing with bac']
BAC,2023-05-22,['check out what whales are doing with bac']
BAC,2023-05-30,['check out what whales are doing with bac']
BAC,2023-06-06,['check out what whales are doing with bac']
BAC,2023-07-05,['check out what whales are doing with bac']
BAC,2023-07-12,"['check out what whales are doing with bac', ""what's going on with bank of america (bac) shares""]"
BAC,2023-07-17,"[""what's going on with bank of america (bac) shares""]"
BAC,2023-07-28,['check out what whales are doing with bac']
BAC,2023-08-08,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-08-15,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-08-22,"[""what's going on with bank of america (bac) and wells fargo (wfc) shares""]"
BAC,2023-10-18,"[""what's going on with bank of america (bac) shares""]"
