Date,Adj Close,Close,High,Low,Open,Volume,Supertrend,Direction,UpperBand,LowerBand,Uptrend,Downtrend,headline,sentiment_score
2015-01-02,47.46482467651367,62.4900016784668,62.959999084472656,62.06999969482422,62.18000030517578,12600000,65.18499755859375,-1,65.18499755859375,59.845001220703125,,65.18499755859375,No headline available,0.887742
2015-01-05,45.99129104614258,60.54999923706055,62.279998779296875,60.22999954223633,62.060001373291016,20100600,64.33599815368652,-1,64.33599815368652,59.845001220703125,,64.33599815368652,No headline available,0.887742
2015-01-06,44.798789978027344,58.97999954223633,60.75,58.349998474121094,60.63999938964844,29074100,63.04289878845215,-1,63.04289878845215,59.845001220703125,,63.04289878845215,No headline available,0.887742
2015-01-07,44.86713409423828,59.06999969482422,59.88999938964844,58.66999816894531,59.88999938964844,23843200,62.789608741760254,-1,62.789608741760254,55.770388816833496,,62.789608741760254,No headline available,0.887742
2015-01-08,45.8697509765625,60.38999938964844,60.900001525878906,59.970001220703125,59.970001220703125,16971100,62.789608741760254,-1,62.789608741760254,56.72735185775757,,62.789608741760254,No headline available,0.887742
2015-01-09,45.07222366333008,59.34000015258789,60.790000915527344,59.290000915527344,60.720001220703125,15396200,62.789608741760254,-1,62.789608741760254,56.72735185775757,,62.789608741760254,No headline available,0.887742
2015-01-12,44.684837341308594,58.83000183105469,59.400001525878906,58.27000045776367,59.279998779296875,15455200,62.582197419837954,-1,62.582197419837954,56.72735185775757,,62.582197419837954,No headline available,0.887742
2015-01-13,44.69243621826172,58.84000015258789,59.70000076293945,58.369998931884766,59.2599983215332,21644700,62.582197419837954,-1,62.582197419837954,56.72735185775757,,62.582197419837954,No headline available,0.887742
2015-01-14,43.15053939819336,56.810001373291016,58.84000015258789,55.27000045776367,58.84000015258789,49602300,61.52032981470131,-1,61.52032981470131,56.72735185775757,,61.52032981470131,No headline available,0.887742
2015-01-15,41.76813507080078,54.9900016784668,56.61000061035156,54.5,55.72999954223633,42458100,60.26679727573606,-1,60.26679727573606,56.72735185775757,,60.26679727573606,No headline available,0.887742
2015-01-16,42.48213195800781,55.93000030517578,56.0,54.63999938964844,54.65999984741211,29368900,59.96861715143394,-1,59.96861715143394,50.6713822382145,,59.96861715143394,No headline available,0.887742
2015-01-20,42.31501770019531,55.709999084472656,56.38999938964844,55.41999816894531,56.040000915527344,23477700,59.96861715143394,-1,59.96861715143394,51.43024270213719,,59.96861715143394,No headline available,0.887742
2015-01-21,42.451744079589844,55.88999938964844,56.41999816894531,55.189998626708984,55.45000076293945,21842400,59.96861715143394,-1,59.96861715143394,51.43024270213719,,59.96861715143394,No headline available,0.887742
2015-01-22,43.74299621582031,57.59000015258789,57.72999954223633,55.959999084472656,56.380001068115234,31423500,59.96861715143394,-1,59.96861715143394,52.336346968674974,,59.96861715143394,No headline available,0.887742
2015-01-23,43.05178451538086,56.68000030517578,57.869998931884766,56.65999984741211,57.720001220703125,15458300,59.96861715143394,-1,59.96861715143394,52.84421255409507,,59.96861715143394,No headline available,0.887742
2015-01-26,43.12016296386719,56.77000045776367,56.9900016784668,56.20000076293945,56.40999984741211,12577700,59.96861715143394,-1,59.96861715143394,52.84421255409507,,59.96861715143394,No headline available,0.887742
2015-01-27,42.68721389770508,56.20000076293945,56.61000061035156,55.7599983215332,56.04999923706055,15220500,59.96861715143394,-1,59.96861715143394,52.84421255409507,,59.96861715143394,No headline available,0.887742
2015-01-28,41.585845947265625,54.75,56.68000030517578,54.75,56.619998931884766,24354400,59.96861715143394,-1,59.96861715143394,52.84421255409507,,59.96861715143394,No headline available,0.887742
2015-01-29,42.28464126586914,55.66999816894531,55.88999938964844,54.68000030517578,55.27000045776367,20393300,59.487781617287766,-1,59.487781617287766,52.84421255409507,,59.487781617287766,No headline available,0.887742
2015-01-30,41.30480194091797,54.380001068115234,55.5,54.369998931884766,54.9900016784668,26943700,59.107502829948636,-1,59.107502829948636,52.84421255409507,,59.107502829948636,No headline available,0.887742
2015-02-02,42.13272476196289,55.470001220703125,55.650001525878906,54.27000045776367,54.529998779296875,20308900,59.107502829948636,-1,59.107502829948636,52.84421255409507,,59.107502829948636,No headline available,0.887742
2015-02-03,43.08216857910156,56.720001220703125,56.779998779296875,55.869998931884766,55.90999984741211,18812500,59.107502829948636,-1,59.107502829948636,52.84421255409507,,59.107502829948636,No headline available,0.887742
2015-02-04,42.82392501831055,56.380001068115234,57.06999969482422,56.279998779296875,56.31999969482422,14934100,59.107502829948636,-1,59.107502829948636,52.84421255409507,,59.107502829948636,No headline available,0.887742
2015-02-05,43.12016296386719,56.77000045776367,57.040000915527344,56.459999084472656,56.86000061035156,11293900,59.107502829948636,-1,59.107502829948636,52.9809847011244,,59.107502829948636,No headline available,0.887742
2015-02-06,43.97085952758789,57.88999938964844,58.72999954223633,57.540000915527344,57.75,25214000,59.107502829948636,-1,59.107502829948636,54.154886734552,,59.107502829948636,No headline available,0.887742
2015-02-09,43.91768264770508,57.81999969482422,58.099998474121094,57.22999954223633,57.41999816894531,14372400,59.107502829948636,-1,59.107502829948636,54.154886734552,,59.107502829948636,No headline available,0.887742
2015-02-10,44.40380096435547,58.459999084472656,58.709999084472656,58.04999923706055,58.41999816894531,16367300,59.107502829948636,-1,59.107502829948636,54.654207701856016,,59.107502829948636,No headline available,0.887742
2015-02-11,44.335445404052734,58.369998931884766,58.65999984741211,57.84000015258789,58.060001373291016,13061900,59.107502829948636,-1,59.107502829948636,54.654207701856016,,59.107502829948636,No headline available,0.887742
2015-02-12,45.24692153930664,59.56999969482422,59.709999084472656,58.54999923706055,58.93000030517578,23211300,55.48870811567012,1,59.107502829948636,55.48870811567012,55.48870811567012,,No headline available,0.887742
2015-02-13,45.32286834716797,59.66999816894531,60.220001220703125,59.34000015258789,59.459999084472656,16479100,56.2388384256241,1,63.32116294766691,56.2388384256241,56.2388384256241,,No headline available,0.887742
2015-02-17,45.64948272705078,60.099998474121094,60.13999938964844,59.31999969482422,59.36000061035156,15308800,56.2969535988698,1,63.16304548560286,56.2969535988698,56.2969535988698,,No headline available,0.887742
2015-02-18,45.095001220703125,59.369998931884766,60.099998474121094,59.119998931884766,60.099998474121094,14278100,56.2969535988698,1,62.9937399147037,56.2969535988698,56.2969535988698,,No headline available,0.887742
2015-02-19,44.98865509033203,59.22999954223633,59.47999954223633,58.79999923706055,59.150001525878906,11256500,56.2969535988698,1,62.38936657173187,56.2969535988698,56.2969535988698,,No headline available,0.887742
2015-02-20,45.421607971191406,59.79999923706055,59.88999938964844,58.349998474121094,58.959999084472656,15379000,56.2969535988698,1,62.38936657173187,56.2969535988698,56.2969535988698,,No headline available,0.887742
2015-02-23,45.0798225402832,59.349998474121094,59.529998779296875,58.79999923706055,59.5,16814000,56.2969535988698,1,62.38936657173187,56.2969535988698,56.2969535988698,,No headline available,0.887742
2015-02-24,46.19636535644531,60.81999969482422,61.25,60.08000183105469,60.25,22937700,57.08199155955171,1,62.38936657173187,57.08199155955171,57.08199155955171,,No headline available,0.887742
2015-02-25,46.43941879272461,61.13999938964844,61.27000045776367,60.75,60.7599983215332,18307900,57.62929167117466,1,62.38936657173187,57.62929167117466,57.62929167117466,,No headline available,0.887742
2015-02-26,46.77363586425781,61.58000183105469,61.70000076293945,60.90999984741211,61.029998779296875,15444800,58.02536232858112,1,62.38936657173187,58.02536232858112,58.02536232858112,,No headline available,0.887742
2015-02-27,46.5457649230957,61.279998779296875,61.91999816894531,61.130001068115234,61.130001068115234,15225900,58.336326309346056,1,62.38936657173187,58.336326309346056,58.336326309346056,,No headline available,0.887742
2015-03-02,46.91795349121094,61.77000045776367,61.83000183105469,61.029998779296875,61.279998779296875,13047300,58.336326309346056,1,62.38936657173187,58.336326309346056,58.336326309346056,,No headline available,0.887742
2015-03-03,47.069862365722656,61.970001220703125,61.9900016784668,61.5,61.650001525878906,13706900,58.799174131279536,1,62.38936657173187,58.799174131279536,58.799174131279536,,No headline available,0.887742
2015-03-04,47.19139099121094,62.130001068115234,62.16999816894531,61.349998474121094,61.63999938964844,16625500,58.86275437592746,1,62.38936657173187,58.86275437592746,58.86275437592746,,No headline available,0.887742
2015-03-05,47.092647552490234,62.0,62.22999954223633,61.599998474121094,62.20000076293945,10931300,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-06,46.24953842163086,60.88999938964844,62.869998931884766,60.79999923706055,62.15999984741211,22719200,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-09,46.71287536621094,61.5,61.630001068115234,60.79999923706055,60.84000015258789,13001500,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-10,45.54314422607422,59.959999084472656,61.0099983215332,59.959999084472656,60.7599983215332,16357700,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-11,45.75581741333008,60.2400016784668,60.650001525878906,59.959999084472656,60.130001068115234,13015600,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-12,46.61411666870117,61.369998931884766,61.45000076293945,60.650001525878906,60.650001525878906,18159600,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-13,46.33308410644531,61.0,61.86000061035156,60.43000030517578,61.400001525878906,16506200,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-16,46.97871398925781,61.849998474121094,61.91999816894531,61.25,61.5,15182900,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-17,46.796417236328125,61.61000061035156,61.65999984741211,60.91999816894531,61.34000015258789,11718300,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-18,46.90275573730469,61.75,62.04999923706055,61.09000015258789,61.38999938964844,15697900,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-19,46.48499298095703,61.20000076293945,61.650001525878906,60.7599983215332,61.56999969482422,11523800,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-20,46.90275573730469,61.75,62.099998474121094,61.150001525878906,61.31999969482422,18368300,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-23,46.43941879272461,61.13999938964844,62.08000183105469,61.119998931884766,61.75,15112900,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-24,45.92292022705078,60.459999084472656,61.2400016784668,60.45000076293945,60.970001220703125,12128700,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-25,45.27730178833008,59.61000061035156,60.63999938964844,59.59000015258789,60.529998779296875,14950900,59.11847913669897,1,62.38936657173187,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-26,45.2241325378418,59.540000915527344,59.790000915527344,58.869998931884766,59.459999084472656,14039600,59.11847913669897,1,62.32844660152358,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-27,45.23172378540039,59.54999923706055,59.779998779296875,59.0,59.4900016784668,11755800,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-30,46.302711486816406,60.959999084472656,61.459999084472656,60.61000061035156,60.880001068115234,20656500,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-03-31,46.01407241821289,60.58000183105469,60.939998626708984,60.41999816894531,60.720001220703125,17346700,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-01,45.83820343017578,59.95000076293945,60.56999969482422,59.72999954223633,60.40999984741211,18100600,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-02,46.27404022216797,60.52000045776367,60.70000076293945,60.0,60.06999969482422,12697800,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-06,46.23581314086914,60.470001220703125,60.75,59.650001525878906,59.91999816894531,12025200,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-07,46.5263557434082,60.849998474121094,61.5,60.849998474121094,61.150001525878906,11505500,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-08,46.67927932739258,61.04999923706055,61.560001373291016,60.939998626708984,61.060001373291016,11734000,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-09,47.000423431396484,61.470001220703125,61.58000183105469,60.83000183105469,61.27000045776367,11728500,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-10,47.1762809753418,61.70000076293945,61.779998779296875,61.20000076293945,61.349998474121094,9869700,59.11847913669897,1,62.322601033473276,59.11847913669897,59.11847913669897,,No headline available,0.887742
2015-04-13,47.45918273925781,62.06999969482422,62.27000045776367,61.5,61.63999938964844,15468700,59.206473945426026,1,62.322601033473276,59.206473945426026,59.206473945426026,,No headline available,0.887742
2015-04-14,48.20085525512695,63.040000915527344,63.61000061035156,62.7400016784668,62.959999084472656,33775400,60.302327214640755,1,62.322601033473276,60.302327214640755,60.302327214640755,,No headline available,0.887742
2015-04-15,49.095436096191406,64.20999908447266,64.4800033569336,63.0099983215332,63.08000183105469,28732200,60.71859279182169,1,66.7714088866451,60.71859279182169,60.71859279182169,,No headline available,0.887742
2015-04-16,48.789588928222656,63.810001373291016,64.2699966430664,63.65999984741211,64.08000183105469,16640500,61.05823196387244,1,66.7714088866451,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-17,48.04792785644531,62.84000015258789,63.400001525878906,62.4900016784668,63.25,20221200,61.05823196387244,1,65.95709116385025,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-20,48.35376739501953,63.2400016784668,63.52000045776367,63.13999938964844,63.220001220703125,12755300,61.05823196387244,1,65.95709116385025,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-21,47.6426887512207,62.310001373291016,63.599998474121094,62.130001068115234,63.33000183105469,14985100,61.05823196387244,1,65.92939162027608,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-22,48.12437438964844,62.939998626708984,63.150001525878906,62.029998779296875,62.650001525878906,14484700,61.05823196387244,1,65.68395364080463,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-23,48.01735305786133,62.79999923706055,63.209999084472656,62.599998474121094,62.790000915527344,12851300,61.05823196387244,1,65.68395364080463,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-24,47.86442565917969,62.599998474121094,62.84000015258789,62.34000015258789,62.630001068115234,9597500,61.05823196387244,1,65.41080264283836,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-27,47.66562271118164,62.34000015258789,63.150001525878906,62.310001373291016,62.70000076293945,11146400,61.05823196387244,1,65.41080264283836,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-28,47.98674774169922,62.7599983215332,62.779998779296875,61.77000045776367,62.4900016784668,12307800,61.05823196387244,1,65.08964917329185,61.05823196387244,61.05823196387244,,No headline available,0.887742
2015-04-29,48.62902069091797,63.599998474121094,63.88999938964844,62.459999084472656,62.560001373291016,17601200,61.05823196387244,1,65.08964917329185,61.05823196387244,61.05823196387244,,No headline available,0.887742
