,Ticker,Model,lag,Accuracy_x,Return [%]_x,Buy & Hold Return [%]_x,Return [%]_y,Type,Sharpe Ratio_x,TN,FP,FN,TP,Precision,TPR,FPR
1764,AAPL,SGD Classifier,30,0.8103666245259166,41.40648910522455,30.37745739992605,60.67862093383788,grid,0.7153373189482288,340,31,119,301,0.9066265060240963,0.7166666666666667,0.08355795148247978
1417,AMD,Logistic Regression,0,0.8495575221238938,55.427806549072336,-33.76597544070364,88.21577719787595,grid,0.4376957077237771,429,18,101,243,0.9310344827586207,0.7063953488372093,0.040268456375838924
2016,AMZN,Random Forest,5,0.8824273072060683,42.93685953124981,22.496771696122803,89.49269180297841,random,0.5094587557245704,281,26,67,417,0.9413092550790068,0.8615702479338843,0.08469055374592833
2155,GOOGL,MLP,5,0.8596713021491783,14.527877807617244,16.21370839460447,42.71176308715815,normal,0.1655274063856883,278,77,34,402,0.8392484342379958,0.9220183486238532,0.21690140845070421
1573,META,Logistic Regression,10,0.8255372945638433,295.58438621521,94.4349186566028,336.7915330889891,normal,1.1372627960883834,204,75,63,449,0.8568702290076335,0.876953125,0.26881720430107525
1236,MSFT,Random Forest,25,0.6776232616940582,38.83089721679691,17.26064190568988,39.97971123291019,grid,0.7770471191813806,373,2,253,163,0.9878787878787879,0.3918269230769231,0.005333333333333333
2539,NFLX,Naive Bayes,50,0.5790139064475348,104.70461467285152,61.218342935903735,135.5702032470703,random,0.7603698218878919,214,55,278,244,0.8160535117056856,0.4674329501915709,0.20446096654275092
1261,NVDA,Logistic Regression,25,0.8786346396965866,356.14437404632565,298.8911402988802,574.138231556549,grid,0.8872942265549947,282,60,36,413,0.8731501057082452,0.9198218262806236,0.17543859649122806
4200,TSLA,Random Forest,15,0.8609355246523388,104.37205249999994,-29.499571798021744,195.1673376464844,random,0.6121790493648589,398,56,54,283,0.8348082595870207,0.8397626112759644,0.12334801762114538
