,LSTM ModelAAPL,Actual DirectionAAPL,LSTM ModelGOOGL,Actual DirectionGOOGL,LSTM ModelNVDA,Actual DirectionNVDA,LSTM ModelMSFT,Actual DirectionMSFT,LSTM ModelTSLA,Actual DirectionTSLA,LSTM ModelGOOG,Actual DirectionGOOG,LSTM ModelGOOG,Actual DirectionGOOG,LSTM ModelAMZN,Actual DirectionAMZN,LSTM ModelMETA,Actual DirectionMETA,LSTM ModelUNH,Actual DirectionUNH
Return [%],0.0,23.068038934799276,16.197041499305733,31.842861475906364,119.29485973172378,144.68030795501713,14.931213140991195,26.83089853198237,0.0,78.94198952992248,80.14947357687377,36.69467653739924,80.14947357687377,36.69467653739924,33.02287205111704,78.23645661679079,22.212947534561188,117.43261532943734,0.0,-5.48119009783931
Max Drawdown [%],-0.0,-18.087471138304203,-22.14846030852986,-21.973843566768913,-27.044453356620057,-33.3553517002238,-5.630806633471019,-17.623005217447542,-0.0,-29.074615028885987,-22.374016492318372,-21.436893134190182,-22.374016492318372,-21.436893134190182,-17.39749855359053,-11.857812676183176,-29.474529961401075,-19.6653361470553,-0.0,-14.933988773971285
# Trades,0.0,9.0,15.0,8.0,1.0,9.0,3.0,7.0,0.0,8.0,0.0,8.0,0.0,8.0,12.0,6.0,9.0,8.0,0.0,9.0
Win Rate [%],,44.44444444444444,40.0,75.0,100.0,44.44444444444444,100.0,42.857142857142854,,37.5,,75.0,,75.0,66.66666666666666,100.0,22.22222222222222,50.0,,44.44444444444444
Profit Factor,,2.284926392840258,1.5851174435214848,3.3227372312712316,,3.8735154389914346,,2.6639293969965325,,2.9440897325035396,,3.645736009429987,,3.645736009429987,3.1285380611248774,,1.0029972997143037,8.326264716565365,,0.8171769580427642
Avg. Trade [%],,2.617233443174105,0.7536620720643761,3.7226698918065626,0.00201864363789106,10.675718353186436,4.966054913157447,3.6620977181421654,,7.760422640827547,,4.197118323854032,,4.197118323854032,2.5675912402192136,10.337323283698584,-0.24033679450781165,10.426853993697204,,-0.42679020203157947
Sharpe Ratio,,0.6029663673336537,0.28173524867496086,0.5358566912098336,0.7464537092225261,0.8729859082681618,0.9430085631420898,0.6376287245117107,,0.6107037659567821,0.898926159041949,0.6076448404937332,0.898926159041949,0.6076448404937332,0.6105432677083562,1.0452961500152893,0.41237284787947465,1.073697495213124,,-0.2206578733473114
Buy & Hold Return [%],63.30604021658639,63.30604021658639,86.47631569481949,86.47631569481949,429.3418000184701,429.3418000184701,59.390097035537124,59.390097035537124,39.04917209952642,39.04917209952642,88.05657131426958,88.05657131426958,88.05657131426958,88.05657131426958,126.47283241836331,126.47283241836331,279.56406249821276,279.56406249821276,-1.4014569346832513,-1.4014569346832513
