,LSTM ModelAAPL,Actual DirectionAAPL,LSTM ModelNVDA,Actual DirectionNVDA,LSTM ModelMSFT,Actual DirectionMSFT,LSTM ModelTSLA,Actual DirectionTSLA,LSTM ModelTSLA,Actual DirectionTSLA,LSTM ModelAMZN,Actual DirectionAMZN
Return [%],1.9630093105468402,23.068038934799276,414.62301828371426,144.68030795501713,55.4747713088379,26.83089853198237,0.0,78.94198952992248,0.0,78.94198952992248,58.97183308444216,78.23645661679079
Max Drawdown [%],-22.059687016813136,-18.087471138304203,-27.045802672779317,-33.3553517002238,-16.04428795713173,-17.623005217447542,-0.0,-29.074615028885987,-0.0,-29.074615028885987,-21.7320020798318,-11.857812676183176
# Trades,8.0,9.0,0.0,9.0,0.0,7.0,0.0,8.0,0.0,8.0,8.0,6.0
Win Rate [%],12.5,44.44444444444444,,44.44444444444444,,42.857142857142854,,37.5,,37.5,75.0,100.0
Profit Factor,0.13286145393343513,2.284926392840258,,3.8735154389914346,,2.6639293969965325,,2.9440897325035396,,2.9440897325035396,3.457812028994651,
Avg. Trade [%],-2.4562949914728627,2.617233443174105,,10.675718353186436,,3.6620977181421654,,7.760422640827547,,7.760422640827547,3.8418847068502293,10.337323283698584
Sharpe Ratio,0.0558217815746734,0.6029663673336537,1.0310145570635765,0.8729859082681618,0.8971777404466187,0.6376287245117107,,0.6107037659567821,,0.6107037659567821,0.8207555523332465,1.0452961500152893
Buy & Hold Return [%],63.30604021658639,63.30604021658639,429.3418000184701,429.3418000184701,59.390097035537124,59.390097035537124,39.04917209952642,39.04917209952642,39.04917209952642,39.04917209952642,126.47283241836331,126.47283241836331
